name,rank,ratings_average,ratings_count,price_euros
Scarecrow Cabernet Sauvignon 2015,1,4.8,243,1558.75
Buena Vista Chateau Buena Vista Cabernet Sauvignon Napa Valley 2018,1,4.4,3867,61.95
